Blog	second	available	here	want	how	re	came	than	best	and	much	life	things	any	had	has	right	old	people	for	time	team	such	internet	one	open	future	take	going	where	many	s	photos	being	around	world	her	with	an	as	at	to	past	more	company	its	always	found	really	number	also	see	last	let	read	d	be	by	into	up	us	ago	video	great	makes	next	this	when	high	could	there	should	ve	off	work	after	then	them	they	another	what	just	do	the	night	post	months	way	was	live	can	still	not	now	year	looking	that	online	only	between	these	media	death	t	your	lot	you	very	family	site	a	help	since	during	x	probably	both	look	while	used	game	some	go	facebook	need	so	based	years	nbsp	i	well	twitter	home	north	he	using	even	new	ever	never	before	better	don	m	said	three	say	is	it	in	if	make	left	down	finally	me	did	run	making	may	earlier	thing	think	first	long	little	were	show	get	enough	reading	according	those	same	money	again	public	two	coming	through	good	hard	most	find	yesterday	big	google	back	use	ll	day	have	we	like	about	but	every	street	would	my	times	end	over	each	got	free	days	already	top	too	news	games	been	social	gift	christmas	why	no	today	she	season	sure	come	week	seems	on	of	or	all	list	version	might	his	him	are	from	few	getting	something	our	out	their	which	who	will	other	know	because	own	made	book
Search Engine Roundtable	0	1	4	0	1	0	2	0	0	10	0	0	0	2	0	2	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	4	0	1	3	7	0	1	0	0	0	2	0	0	0	0	1	0	0	0	3	2	1	4	0	1	1	0	0	0	8	0	0	0	1	0	0	0	0	3	0	1	3	0	3	0	1	28	0	1	0	0	1	1	1	0	1	2	2	0	4	0	0	0	0	0	0	2	0	0	1	0	0	0	14	3	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	6	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	1	0	8	5	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	26	1	0	1	0	1	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	3	0	1	0	0	1	0	3	10	1	0	1	0	0	0	0	2	3	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0
Copyblogger	0	0	1	0	5	1	0	2	0	15	0	0	0	0	0	1	1	2	3	10	2	0	0	1	4	0	0	0	1	0	1	11	0	1	0	2	1	9	1	2	5	17	0	3	0	0	0	0	0	0	0	1	1	0	0	1	6	1	3	5	0	0	0	3	0	0	2	1	0	0	2	0	4	0	1	0	0	1	1	0	0	5	4	32	0	0	0	0	0	0	2	1	4	0	3	0	8	3	0	0	2	5	0	2	6	1	13	0	0	0	10	0	0	1	0	0	0	1	0	0	0	4	1	0	0	0	0	1	0	6	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	1	2	9	8	10	2	4	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	2	5	0	0	0	0	1	0	0	0	0	2	0	1	0	2	0	0	2	0	0	1	0	1	2	1	4	2	1	2	1	1	2	1	2	2	0	0	3	0	0	0	0	1	0	1	5	0	1	3	1	4	0	2	1	0	8	0	8	13	4	6	0	0	1	0	0	2	2	0	1	1	4	0	1	0	1	3	0	0	0	0	0	0
Wonkette	0	0	2	1	2	0	1	1	0	6	0	0	0	0	0	2	0	1	3	3	2	0	0	0	1	0	0	0	0	0	0	8	0	0	1	0	0	2	0	0	0	12	0	1	0	0	0	0	1	1	2	1	0	1	0	0	0	0	2	3	1	0	0	0	1	0	3	1	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	19	0	0	0	0	0	0	0	0	2	2	1	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	1	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	4	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	2	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	0	3	2	3	9	1	2	0	0	0	3	0	4	1	0	0	0	0	1	1	0	2	1	0	0	0	1	0	1
SimpleBits	0	2	0	0	1	1	0	0	2	11	0	0	1	0	4	0	1	0	0	12	1	2	0	0	2	0	0	0	0	1	1	5	0	1	0	0	0	4	6	3	3	12	0	0	0	1	0	0	0	0	0	0	1	0	1	0	3	2	0	0	0	1	1	0	0	0	5	0	0	0	1	0	6	0	3	1	0	0	0	1	0	2	1	27	0	0	1	3	1	0	1	0	5	1	1	0	6	0	0	0	1	0	0	2	0	1	2	0	0	1	18	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	18	0	0	0	0	0	0	0	9	1	0	0	0	0	2	0	0	1	9	11	6	0	1	0	0	2	0	0	0	0	0	0	1	2	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	2	2	0	0	0	0	0	1	2	3	4	5	0	0	2	1	0	0	3	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	3	0	0	0	0	0	0	2	16	1	1	0	0	0	1	0	0	1	1	0	3	1	3	0	0	0	0	1	0	0	0	2	4
mezzoblue	0	0	1	0	2	1	0	0	0	4	1	0	0	1	0	1	1	0	0	2	1	0	0	0	2	0	0	1	1	1	0	9	0	0	1	0	0	5	2	3	0	12	2	0	0	1	0	1	0	2	1	0	1	1	0	1	2	0	1	0	0	0	1	0	0	0	3	2	0	0	0	2	6	1	1	0	0	2	0	0	1	1	0	16	0	0	1	2	2	0	1	1	2	1	0	0	7	0	0	0	1	0	0	3	0	2	6	0	1	2	17	0	0	0	0	1	0	0	1	1	0	1	0	0	0	2	0	0	0	15	1	0	0	0	0	0	0	4	1	0	0	0	0	2	0	0	0	2	7	1	2	1	0	0	2	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	6	0	0	0	3	0	0	3	0	1	2	0	0	0	1	1	0	3	0	0	0	0	0	1	0	0	0	0	1	0	5	12	1	1	0	0	0	0	0	0	1	1	0	0	1	2	0	1	0	0	0	0	0	1	0	0
Slashdot	0	0	2	1	4	1	0	5	3	37	0	0	1	2	2	12	0	0	3	29	2	0	4	1	1	0	0	0	0	1	2	24	5	2	1	4	2	13	6	12	22	51	2	18	0	2	0	1	0	3	3	2	1	0	17	2	6	11	2	2	0	3	1	0	1	2	26	3	1	2	1	0	0	0	3	3	1	4	5	0	5	1	0	88	0	1	2	2	3	0	1	1	6	0	4	3	25	1	1	1	1	0	2	5	1	0	6	1	0	1	39	0	2	0	0	1	2	1	1	1	1	7	0	2	0	2	4	5	0	9	0	0	1	2	1	4	2	6	0	0	1	0	2	1	0	0	0	17	27	31	0	1	0	1	0	0	1	0	2	1	1	1	0	3	0	2	0	1	2	0	1	2	0	0	1	1	1	2	0	3	1	0	2	2	0	0	8	2	5	0	0	6	1	6	2	9	0	4	2	4	0	0	3	3	0	0	1	0	0	0	2	0	2	1	0	0	4	1	0	1	0	0	0	0	0	17	57	0	0	0	0	4	3	0	8	11	4	0	0	0	3	9	2	1	3	2	1	2	3	0	0
Matt Cutts: Gadgets, Google, and SEO	0	0	2	0	2	1	0	0	1	11	0	0	7	0	0	1	0	0	3	12	3	1	0	0	1	0	0	1	4	1	1	6	0	0	0	0	0	1	0	2	2	20	0	0	0	0	0	0	1	0	0	2	4	0	1	2	4	1	0	1	0	0	3	2	0	4	4	2	0	2	2	2	4	0	1	0	2	1	0	0	3	1	1	24	0	2	0	0	2	0	1	0	2	0	3	0	7	2	1	0	0	0	0	5	4	3	7	0	0	0	16	3	0	0	0	0	0	0	0	0	0	1	1	0	2	3	0	0	0	25	0	1	0	0	0	0	1	4	1	0	0	0	3	4	0	1	0	3	3	8	4	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	4	0	1	1	3	2	1	4	2	5	0	0	3	5	1	0	2	0	0	0	3	1	0	0	0	0	2	0	0	0	1	1	2	0	0	0	0	1	0	5	13	6	0	0	0	0	0	0	2	3	2	0	1	1	4	0	1	0	2	0	1	1	0	1	2
gapingvoid	0	0	2	0	2	0	1	0	0	5	1	1	0	0	0	1	1	1	3	2	1	0	0	2	1	0	0	0	0	1	0	9	0	1	0	1	0	4	4	0	1	18	0	1	1	0	0	0	1	0	0	0	0	0	0	0	4	0	2	1	0	1	1	1	0	1	9	2	0	0	3	1	0	0	0	1	0	0	2	0	4	1	1	22	0	0	0	1	2	0	2	1	1	2	0	0	4	0	0	0	0	0	0	3	1	0	4	0	0	0	8	0	0	0	0	0	0	0	1	0	0	3	2	0	2	4	0	1	0	18	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	1	6	3	7	0	2	0	1	0	2	0	0	0	0	1	2	2	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	4	0	4	4	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	3	1	0	0	0	1	0	4	11	1	0	0	0	1	0	1	2	2	0	0	0	1	4	1	0	1	1	0	0	1	0	0	0
Gothamist	2	0	4	1	2	1	2	6	1	74	0	0	0	0	7	19	0	15	9	24	3	3	0	1	10	1	2	1	0	5	3	50	0	4	10	0	15	21	14	9	20	84	0	42	0	4	0	8	1	3	5	2	12	5	0	1	9	16	4	6	4	2	4	3	0	1	14	4	3	1	4	2	2	6	3	7	1	3	18	2	2	1	1	186	8	4	1	2	43	2	8	1	5	5	16	0	40	0	4	0	0	1	5	11	2	5	8	3	1	0	112	1	1	3	3	0	4	0	3	1	6	4	0	3	0	5	0	3	30	9	3	2	6	3	10	1	0	19	2	2	3	3	3	7	8	4	7	30	16	85	4	3	1	3	0	4	2	2	1	6	3	1	0	4	6	3	18	1	3	2	0	7	3	1	2	1	2	7	1	1	2	1	1	0	8	2	3	2	0	1	3	17	5	5	2	12	1	15	4	0	6	2	4	0	1	0	0	0	4	1	4	2	9	0	0	6	1	5	8	7	4	0	2	2	2	42	88	6	4	4	1	0	13	5	4	15	0	2	0	2	9	8	4	14	2	3	1	6	0	1	0
we make money not art	0	0	2	1	5	1	2	2	3	54	1	3	0	1	5	4	1	0	3	16	1	0	5	6	3	0	2	0	0	2	0	19	3	5	2	8	0	13	6	9	13	51	0	4	0	3	0	1	0	2	5	3	1	0	0	0	11	15	4	4	7	0	0	0	1	1	11	1	2	3	2	0	3	2	2	6	1	5	18	0	3	2	4	132	0	1	0	3	11	1	5	1	4	1	3	0	24	1	4	1	0	5	2	5	3	0	7	1	0	2	44	0	0	1	0	0	2	1	0	6	1	4	3	0	0	4	0	1	0	10	1	0	1	0	9	0	0	10	0	1	0	0	1	2	5	2	1	14	12	38	1	0	0	2	1	0	0	0	0	0	0	0	0	2	2	1	4	4	0	0	0	0	3	0	0	0	2	1	0	1	0	0	5	0	0	0	0	3	0	1	0	6	1	5	4	9	1	1	5	3	0	1	3	0	1	1	1	0	0	2	1	0	4	1	0	0	1	4	1	1	0	0	0	1	0	19	61	2	1	0	0	3	6	4	11	11	1	0	0	1	0	4	4	3	5	5	0	2	1	2	3
